Code PM,Libellé,PR début,PR fin,Sens,Axe,QT_MIN (6s),QT_MAX (6s),VT_MIN (6s),VT_MAX (6s),TT_MIN (6s),TT_MAX (6s),Lg Elec (m),Code Groupe Seuil,Envoi MI2,Code MISOL2,Envoi TIPI,Code TIPI
M8I,PME_A7_1_276+238_M8I,276+238,276+738,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.I,OUI,MM813.I1
M8J,PME_A7_1_276+726_M8J,276+726,277+226,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.J,OUI,MM813.J1
M8K,PME_A7_1_277+278_M8K,277+278,277+778,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.K,OUI,MM813.K1
M8N,PME_A7_1_279+086_M8N,279+086,279+586,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.N,OUI,MM813.N1
M8O,PME_A7_1_279+614_M8O,279+614,280+114,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.O,OUI,MM813.O1
M8P,PME_A7_1_280+350_M8P,280+350,280+850,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.P,OUI,MM813.P1
M8Q,PME_A7_1_280+360_M8Q,0+000,0+500,1,A557,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.Q,NON,MM813.Q1
M8R,PME_A7_1_281+000_M8R,281+000,281+500,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM813.R,NON,MM813.R1
M8S,PME_A7_1_281+700_M8S,281+700,281+900,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM813.S,NON,MM813.S1
M8a,PME_A7_2_271+850_M8a,271+850,272+350,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.a,OUI,MM813.a2
m8a,PME_A7_2_271+851_m8a,271+851,272+351,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm813.a,OUI,Mm813.a2
M8b,PME_A7_2_272+375_M8b,272+375,272+875,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.b,OUI,MM813.b2
M8c,PME_A7_2_272+860_M8c,272+860,273+360,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.c,OUI,MM813.c2
M8d,PME_A7_2_273+440_M8d,273+440,273+940,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.d,OUI,MM813.d2
M8e,PME_A7_2_273+900_M8e,273+900,274+400,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.e,OUI,MM813.e2
M8f,PME_A7_2_274+450_M8f,274+450,274+950,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.f,OUI,MM813.f2
M8g,PME_A7_2_275+090_M8g,275+090,275+590,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.g,OUI,MM813.g2
M8h,PME_A7_2_275+695_M8h,275+695,276+195,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.h,OUI,MM813.h2
M8i,PME_A7_2_276+238_M8i,276+238,276+738,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.i,OUI,MM813.i2
M8j,PME_A7_2_276+726_M8j,276+726,277+226,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.j,OUI,MM813.j2
M8k,PME_A7_2_277+278_M8k,277+278,277+778,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.k,OUI,MM813.k2
M8n,PME_A7_2_279+086_M8n,279+086,279+586,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.n,OUI,MM813.n2
M8o,PME_A7_2_279+614_M8o,279+614,280+114,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.o,OUI,MM813.o2
M8p,PME_A7_2_280+165_M8p,280+165,280+665,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.p,OUI,MM813.p2
M8r,PME_A7_2_281+000_M8r,281+000,281+500,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM813.r,NON,MM813.r2
M8s,PME_A7_2_281+700_M8s,281+700,282+86,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM813.s,NON,MM813.s2
M3A,PME_A50_1_0+763_M3A,0+392,1+263,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.A,OUI,MM313.A1
M3B,PME_A50_1_1+040_M3B,1+040,1+540,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.B,OUI,MM313.B1
M3C,PME_A50_1_1+346_M3C,1+346,1+846,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.C,OUI,MM313.C1
M3D,PME_A50_1_1+871_M3D,1+871,2+371,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.D,OUI,MM313.D1
M3E,PME_A50_1_2+255_M3E,2+255,2+755,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.E,OUI,MM313.E1
M3H,PME_A50_1_3+886_M3H,3+886,4+386,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.H,OUI,MM313.H1
M3I,PME_A50_1_4+300_M3I,4+300,4+800,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.I,OUI,MM313.I1
M3J,PME_A50_1_4+794_M3J,4+794,5+294,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.J,OUI,MM313.J1
M3K,PME_A50_1_5+252_M3K,5+252,5+752,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.K,OUI,MM313.K1
