Code PTF Voie,Code PTF Station,N° de voie
A55_1_M5X_VLE,M5x,0
A55_1_M5X_VRA,M5x,2
A55_1_M5X_VMD,M5x,1
A55_2_M5x_VRA,M5x,5
TPA-INTVLE_RDTCMA027,TPA-INTBAU_RDTSTC003,2
BE05INTVLE_RDTCMA025,TPA-INTBAU_RDTSTC003,0
TPA-INTVMD_RDTCMA029,TPA-INTBAU_RDTSTC003,4
TPA-INTVRA_RDTCMA031,TPA-INTBAU_RDTSTC003,6
SMA-INTVLE_RDTBEM024,TMA-INTN01_RDTSCB002,0
SMA-EXTVRA_RDTBEM022,TMA-INTN01_RDTSCB002,5
SMA-INTVRA_RDTBEM028,TMA-INTN01_RDTSCB002,4
SMA-INTVMD_RDTBEM026,TMA-INTN01_RDTSCB002,2
BQU-EXTVLE_RDTBEM030,TMA-INTN01_RDTSCB002,1
SMA-EXTVLE_RDTBEM020,TMA-INTN01_RDTSCB002,3
A55_2_M5u_VRA,M5U,4
A55_2_M5u_VLE,M5U,3
A55_1_M5U_VLE,M5U,0
A55_1_M5U_VRA,M5U,2
A55_1_M5U_VMD,M5U,1
A50_1_M3B_VLE,M3B,0
A50_1_M3B_VRA,M3B,2
A50_1_M3B_VMD,M3B,1
A7_1_M8Q_VLE,M8Q,0
A7_1_M8Q_VRA,M8Q,2
A7_1_M8Q_VMD,M8Q,1
A7_2_M8q_VLE,M8Q,3
A501_1_M4N_VRA,M4n,1
A501_1_M4N_VLE,M4n,0
A501_2_M4n_VRA,M4n,3
A501_2_M4n_VLE,M4n,2
A7_1_M8K_VRA,M8K,2
A7_1_M8K_VMD,M8K,1
A7_1_M8K_VLE,M8K,0
A51_2_M1q_VLE,M1q,2
A51_2_M1q_VRA,M1q,3
A51_1_M1Q_VRA,M1q,1
A51_1_M1Q_VLE,M1q,0
A50_1_M3C_VMD,M3C,1
A50_1_M3C_VLE,M3C,0
A50_1_M3C_VRA,M3C,2
A50_1_M3H_VMD,M3H,1
A50_1_M3H_VLE,M3H,0
A50_1_M3H_VRA,M3H,2
A50_1_M3X_VLE,M3X,0
A50_1_M3X_VRA,M3X,2
A50_1_M3X_VMD,M3X,1
A7_2_M7j_VLE,M7j,0
A7_2_M7j_VMD,M7j,1
A7_2_M7j_VRA,M7j,2
A55_2_M5l_VMD,M5l,4
